TRADE_DT,S_DQ_PCTCHANGE,S_DQ_VOLUME
20041231,None,None
20050104,-1.3073,2323762.0300
20050105,1.6927,3486101.1300
20050106,-0.9005,2933905.5900
20050107,0.3027,3391626.9800
20050110,0.8752,2949405.3300
20050111,0.1993,3136115.2100
20050112,0.0275,3196393.8000
20050113,0.4412,4715733.6100
20050114,-1.2735,4016937.3400
20050117,-2.2643,4358603.2000
20050118,1.4217,4516132.5800
20050119,-0.5223,4255249.3100
20050120,-1.3970,4652048.4800
20050121,1.6511,6185255.8300
20050124,1.9884,7323355.1400
20050125,-0.8552,4694803.4400
20050126,-1.1603,4113900.8200
20050127,-1.6784,4123213.7500
20050128,-1.9519,4072373.2800
20050131,-3.1247,4095099.0500
20050201,-1.0103,4199745.6800
20050202,5.5743,6553566.2200
20050203,-1.9633,6371300.8400
20050204,1.7683,5193013.9100
20050216,1.0716,4693322.6800
20050217,0.5075,4031958.4900
20050218,-1.2794,4112811.4500
20050221,1.7673,4765203.1400
20050222,2.6348,9575789.0500
20050223,1.1482,10201823.3400
20050224,0.5090,8683232.8300
20050225,-0.0320,9650761.2500
20050228,-0.3194,7028051.5600
20050301,0.0309,6675636.9000
20050302,-1.4703,7457971.1600
20050303,0.5109,5372494.1800
20050304,-0.7988,4525189.3600
20050307,0.3731,4475140.5300
20050308,2.2349,7187007.9900
20050309,0.3004,8257822.7300
20050310,-2.6154,7106020.4900
20050311,0.3868,5955310.5300
20050314,-0.1652,7550503.2500
20050315,-1.3828,6499568.0500
20050316,-0.9977,5311964.5100
20050317,-1.3162,5313307.4200
20050318,-2.2099,5393917.0300
20050321,0.0046,4192190.1000
20050322,-2.8423,5795013.2600
20050323,0.0683,5290283.4400
20050324,1.0998,4319201.3300
20050325,-0.2068,4189844.6000
20050328,-0.9119,4019570.1900
20050329,-0.6622,3698567.0900
20050330,-3.0390,4689495.5900
20050331,0.8008,4125613.7500
20050401,3.5129,6921793.4700
20050404,-1.9057,5333838.0800
20050405,-0.8931,4572502.7500
20050406,1.8645,6805027.7600
20050407,1.4997,9540235.2100
20050408,1.8367,7997380.6600
20050411,-0.0998,8688242.4800
20050412,-2.2244,6039966.5200
20050413,2.4605,8141086.3300
20050414,-1.5579,6983687.8600
20050415,-2.3683,6661596.9600
20050418,-1.3307,5003269.0800
20050419,0.1850,4798602.9800
20050420,-2.0716,5321650.3900
20050421,-1.8952,6250349.1200
20050422,-1.1445,6224884.8200
20050425,-1.9061,5819861.9500
20050426,1.6862,6199955.1000
20050427,-1.7875,5943654.9200
20050428,2.4600,7643112.4200
20050429,-1.5111,6013685.3800
20050509,-3.4464,4206100.4700
20050510,-0.0380,4946935.8400
20050511,-0.7967,4637579.0600
20050512,-0.5003,4597105.4600
20050513,0.9124,5197528.4500
20050516,-0.8231,4537502.5100
20050517,1.2725,4955081.9000
20050518,0.7561,4558077.0200
20050519,0.0360,4776276.1200
20050520,-0.7043,4327522.1000
20050523,-3.1016,4312715.3700
20050524,1.8922,4695292.2300
20050525,0.1180,5294537.6100
20050526,-1.3181,4838787.4300
20050527,-1.0045,4167631.6400
20050530,0.8260,3848708.0000
20050531,-0.0828,4299736.9900
20050601,-2.2838,4648727.0100
20050602,-1.1882,4950638.4400
20050603,-0.4489,4586315.0300
20050606,1.5984,4763542.5000
20050607,0.2100,7087300.3700
20050608,7.8882,14973544.0500
20050609,0.9942,15311451.9900
20050610,-2.1325,10035948.2200
20050613,0.3183,6894838.9700
